U) Measured Outputs
Other
Other
Number of K-12 schools served
Number of learners (any age) served
""
""
""
Number of learners (any age) served
Number of learners (any age) served
Number of learners (any age) served
""
Number of learners (any age) served
Number of learners (any age) served
Number of learners (any age) served
""
Number of learners (any age) served
Number of learners (any age) served
Number of learners (any age) served
Number institutions of higher education served
Number of learners (any age) served
Number of learners (any age) served
Number of learners (any age) served
Number institutions of higher education served
Number of learners (any age) served
Number of learners (any age) served
Number of K-12 schools served
""
Number of learners (any age) served
""
""
Number institutions of higher education served
Number of learners (any age) served
Number of learners (any age) served
Number of learners (any age) served
Number institutions of higher education served
Number of learners (any age) served
Number of learners (any age) served
Number of learners (any age) served
Number of educators served
Number of learners (any age) served
Number of learners (any age) served
Number of learners (any age) served
Other
Number of learners (any age) served
Number of learners (any age) served
Number of learners (any age) served
Number of learners (any age) served
Number of learners (any age) served
Number of learners (any age) served
Number of learners (any age) served
Number of learners (any age) served
Number of educators served
Number of educators served
Number of educators served
Number of learners (any age) served
Number of learners (any age) served
Number of learners (any age) served
Number of educators served
Number of learners (any age) served
Number of educators served
Number of learners (any age) served
Number of educators served
Number of materials distributed or downloaded from websites
Number of learners (any age) served
Other
Other
Number of educators served
Number of learners (any age) served
Number of learners (any age) served
Number of learners (any age) served
Number of educators served
""
Number of learners (any age) served
Number of learners (any age) served
Number institutions of higher education served
Number of learners (any age) served
Number of learners (any age) served
Number of learners (any age) served
Number of learners (any age) served
Number of learners (any age) served
Number of learners (any age) served
Number of learners (any age) served
Number of learners (any age) served
Number of learners (any age) served
Other
Number of educators served
Number of educators served
Number of learners (any age) served
Number of learners (any age) served
Number of learners (any age) served
Other
Number of learners (any age) served
Number of educators served
Number of learners (any age) served
Number of learners (any age) served
Number of learners (any age) served
Number of learners (any age) served
Number of learners (any age) served
Number of learners (any age) served
Number of learners (any age) served
Number of learners (any age) served
Number of learners (any age) served
Number of learners (any age) served
Number of learners (any age) served
Number of learners (any age) served
Number of learners (any age) served
Number of degrees or certificates earned
Number of learners (any age) served
Number of learners (any age) served
Other
Other
""
Number of learners (any age) served
""
Number of learners (any age) served
Number of learners (any age) served
Number of learners (any age) served
Other
""
Number of learners (any age) served
Number of learners (any age) served
Number of learners (any age) served
""
Number of learners (any age) served
Number of learners (any age) served
Number of learners (any age) served
Number of learners (any age) served
Number of learners (any age) served
Number of learners (any age) served
Number of learners (any age) served
Number of learners (any age) served
Number of learners (any age) served
Number of degrees or certificates earned
Number of learners (any age) served
Number of learners (any age) served
Number of learners (any age) served
Number of educators served
Number of learners (any age) served
Number of learners (any age) served
Number of learners (any age) served
Number of learners (any age) served
Number of learners (any age) served
Number of learners (any age) served
Other
""
""
Number of learners (any age) served
Number of learners (any age) served
Number of educators served
Number of educators served
Number of degrees awarded
Number of learners (any age) served
Number of learners (any age) served
Number of learners (any age) served
Other
Number of educators served
Number of learners (any age) served
Number of learners (any age) served
Number of learners (any age) served
Number of learners (any age) served
Number of learners (any age) served
Number of learners (any age) served
Number of learners (any age) served
""
""
""
Number of learners (any age) served
Number of learners (any age) served
Number of learners (any age) served
Number of learners (any age) served
Number of educators served
Number of learners (any age) served
Number of learners (any age) served
Number of learners (any age) served
Number of learners (any age) served
Number of learners (any age) served
Number of learners (any age) served
Number of learners (any age) served
Number of learners (any age) served
Number of learners (any age) served
Number of learners (any age) served
Number of learners (any age) served
Number of learners (any age) served
Number of learners (any age) served
Number of learners (any age) served
Number of learners (any age) served
Number of learners (any age) served
Number of learners (any age) served
Number of learners (any age) served
""
Number of learners (any age) served
Number of learners (any age) served
Number of learners (any age) served
Number of learners (any age) served
Number of learners (any age) served
Other
Number of learners (any age) served
Number of learners (any age) served
Number of learners (any age) served
Number of learners (any age) served
Number of degrees or certificates earned
Number of learners (any age) served
Number of learners (any age) served
Number of learners (any age) served
""
Number of learners (any age) served
Number of learners (any age) served
Number of educators served
Number of learners (any age) served
Number of learners (any age) served
Number of learners (any age) served
Number of learners (any age) served
Number of learners (any age) served
Number of learners (any age) served
""
Number of learners (any age) served
Number of learners (any age) served
Number of learners (any age) served
Number of learners (any age) served
Number of learners (any age) served
Number of educators served
Number of educators served
Number of learners (any age) served
Number of learners (any age) served
Number of K-12 schools served
Number of learners (any age) served
Number of degrees or certificates earned
Number of learners (any age) served
Number of learners (any age) served
Number of learners (any age) served
Number of learners (any age) served
Number of learners (any age) served
Number of learners (any age) served
""
Number of learners (any age) served
Number of learners (any age) served
Number of learners (any age) served
Number of learners (any age) served
Number of learners (any age) served
Number of learners (any age) served
Number of degrees or certificates earned
Number of degrees or certificates earned
Other
Number of learners (any age) served
Number of learners (any age) served
Number of learners (any age) served
Number of learners (any age) served
""
""
Other
""
""
""
